Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_558.jpg;0;1;0;1.022909;100.0463;86.16051;1.212378;56.74319;-0.00129341
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_608.jpg;0;1;0;1.050738;100.0697;86.19589;1.213664;56.73274;-0.0007986709
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_658.jpg;0;1;0;1.102739;100.1062;86.25108;1.221266;56.72324;-0.0004273841
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_708.jpg;0;1;0;1.13129;100.1314;86.28914;1.221794;56.69671;-0.000696464
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_758.jpg;0;1;0;1.184283;100.1706;86.3484;1.231802;56.67099;-0.0007237404
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_808.jpg;0;1;0;1.211115;100.1975;86.38903;1.232455;56.65884;-0.0008324349
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_858.jpg;0;1;0;1.259558;100.2393;86.45194;1.231969;56.6281;-0.0007016439
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_908.jpg;0;1;0;1.28878;100.268;86.49522;1.232886;56.60809;-0.0007081824
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_958.jpg;0;1;0;1.33771;100.3125;86.56213;1.237495;56.58536;-0.0008450327
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_008.jpg;0;1;0;1.367519;100.343;86.60804;1.240539;56.57129;-0.0007962772
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_42_058.jpg;0;1;0;1.415013;100.3901;86.67884;1.24426;56.55413;-0.0008407383
